id,nom,chemin,type,niveau,theme,notion,sequence_possible,statut,qualite,reutilisable,a_refondre,commentaire,source,audience,publishable,copie_dans_banques,evidence_category,hash,symlink
I01-delivery-policy,delivery_policy.md,delivery_policy.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,b4e279ef8ac51d90cd57043ac6a3affcb39f3075bde529470abce3f98b7b4934,non
I01-differentiation-quality-report,differentiation_quality_report.md,differentiation_quality_report.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,271006938627bf11e27fb432cc92bcc344ecd61de2c363d33e29f1d101eb3fea,non
I01-GUIDE-DEPLOIEMENT,GUIDE_DEPLOIEMENT.md,docs/GUIDE_DEPLOIEMENT.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,f0115112bdbc3a062bd29836a589cad60ee5fd476540e9106381c0352b9b7674,non
I01-LISEZMOI,LISEZMOI.txt,docs/LISEZMOI.txt,document,interne,,,NA,needs_review,basse,non,oui,,generated,mixte,non,non,autre,7b5a49783f931ae992d9cade6f7e9678866192480d5519a43344290af716b7fa,non
I01-archive-security-policy,archive_security_policy.md,docs/archive_security_policy.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,10c22343d9da89eea6532f4ca3df88c6d23d5965e0583dd5813096666615365b,non
I01-AUDIT-FRONTEND-infra-ground-truth,AUDIT_FRONTEND_infra_ground_truth.md,docs/audits/AUDIT_FRONTEND_infra_ground_truth.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,940f10ee0c5750f66024796386994500ba3826646d591ccc22474751cf273918,non
I01-enrichment-roadmap,enrichment_roadmap.md,docs/enrichment_roadmap.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,fbfa75f634e1209e02b6d8c7d9c6d0a990b94ca225323d8ff9a760948db210e2,non
I01-finalisation-report,finalisation_report.md,docs/finalisation_report.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,c5e87d543378ffdb39c21e492ce1c377595c8ccd063d7ceedb4ca2257edee963,non
I01-judge-campaign-plan,judge_campaign_plan.md,docs/judge_campaign_plan.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,828c8fa0ca9be95303c48039e3ad03c7e3806c4e8a866e3b9bb6318d4eef297a,non
I01-kit-production-NSI,kit_production_NSI.md,docs/kit_production_NSI.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,abc01b0b30fd8d42c1b4ade4d617c7afb820a52abf3d2578cd73b4ebc2d2feeb,non
I01-latex-systems-decision,latex_systems_decision.md,docs/latex_systems_decision.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,45b197e9845a48af58493b186a384ccaf23805d021e89d210b5a7acdccf53265,non
I01-local-excludes-required,local_excludes_required.md,docs/local_excludes_required.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,cf1ca0e3b5df8f72cbe855f53e12f2ab721ef6a9f31d050c43740f8194829700,non
I01-dossier-revue-lead,dossier_revue_lead.md,docs/promotion/dossier_revue_lead.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,c93c171b441e184f5fe820aad98e24c75a135114b8d01ed64dc865155cf5d08e,non
I01-dossier-revue-lead-v2,dossier_revue_lead_v2.md,docs/promotion/dossier_revue_lead_v2.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,cf2e03a71db2426aa0ff96614b30b882864f1827c1314124759d11589e8760cc,non
I01-dossier-revue-lead-v3,dossier_revue_lead_v3.md,docs/promotion/dossier_revue_lead_v3.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,fc50151e24f41f3949290cf5b438c5be5de691eadfa445bc88cb2c72f64f1aa8,non
I01-dossier-revue-lead-v4,dossier_revue_lead_v4.md,docs/promotion/dossier_revue_lead_v4.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,8bce347220f9e5e9fba0872a7d2b61d9883297d442ad291910966d243cc5c6ff,non
I01-dossier-revue-lead-v5,dossier_revue_lead_v5.md,docs/promotion/dossier_revue_lead_v5.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,7b4a8187f40b960dd10dbd7ef1eb128354ceb6a79acd204f4d18fe567020d9b1,non
I01-reorg-report,reorg_report.md,docs/reorg_report.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,cdd7c86f8fb8db97d7dcb7d9fc41f70a9481f95549c2ee79dc9375eac281a3a7,non
I01-repo-topology,repo_topology.md,docs/repo_topology.md,document,interne,,,NA,needs_review,basse,oui,oui,,generated,mixte,non,non,autre,3ce00d025332a0f488924653ebaf5e91c57d69cd3da911617b14406c6d1e5ebb,non
